"lumped_element_capacitance [pF]","Freq [GHz]","RadiationEfficiency []"
0.065,9.5,0.855916831878289
0.0722916666666667,9.5,0.867018557038008
0.0795833333333333,9.5,0.877080930378297
0.086875,9.5,0.884372841304778
0.0941666666666667,9.5,0.891312195870073
0.101458333333333,9.5,0.894601331822731
0.10875,9.5,0.897673601135743
0.116041666666667,9.5,0.895149229685773
0.123333333333333,9.5,0.895645668963383
0.130625,9.5,0.89314490561013
0.137916666666667,9.5,0.891330140883065
0.145208333333333,9.5,0.884961766234238
0.1525,9.5,0.880007571952137
0.159791666666667,9.5,0.873515852735558
0.167083333333333,9.5,0.866061081352829
0.174375,9.5,0.858973119887994
0.181666666666667,9.5,0.85069367943089
0.188958333333333,9.5,0.842719570626728
0.19625,9.5,0.832691991094038
0.203541666666667,9.5,0.823180009519924
0.210833333333333,9.5,0.81350257771405
0.218125,9.5,0.804872615762545
0.225416666666667,9.5,0.795165346761814
0.232708333333333,9.5,0.785897702871134
0.24,9.5,0.775193698806123
