"lumped_element_capacitance [pF]","Freq [GHz]","mag(S(2,1)) []"
0.065,9.5,0.958918831972009
0.0722916666666667,9.5,0.950335140392289
0.0795833333333333,9.5,0.938950521297402
0.086875,9.5,0.924672685307664
0.0941666666666667,9.5,0.906184825904304
0.101458333333333,9.5,0.881349710964653
0.10875,9.5,0.84872412808486
0.116041666666667,9.5,0.80686860580398
0.123333333333333,9.5,0.750000893617918
0.130625,9.5,0.678740864528888
0.137916666666667,9.5,0.595780425904204
0.145208333333333,9.5,0.528080686638818
0.1525,9.5,0.498260134134653
0.159791666666667,9.5,0.51991568214369
0.167083333333333,9.5,0.58037005258326
0.174375,9.5,0.64112193962584
0.181666666666667,9.5,0.702964727398469
0.188958333333333,9.5,0.760861944417824
0.19625,9.5,0.801193689665292
0.203541666666667,9.5,0.832867408940189
0.210833333333333,9.5,0.860617061975406
0.218125,9.5,0.877953350991655
0.225416666666667,9.5,0.893580867814756
0.232708333333333,9.5,0.905325986065109
0.24,9.5,0.917150900685649
