"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0.065,9.5,79.498473971262
0.0722916666666667,9.5,76.5610966782475
0.0795833333333333,9.5,73.2730157852798
0.086875,9.5,69.6556742109644
0.0941666666666667,9.5,65.6957844499903
0.101458333333333,9.5,61.0019217701642
0.10875,9.5,55.6409277266444
0.116041666666667,9.5,49.5182386299547
0.123333333333333,9.5,42.0184138588663
0.130625,9.5,33.1622694860029
0.137916666666667,9.5,22.4930052509964
0.145208333333333,9.5,11.3765119576584
0.1525,9.5,-0.293105870262937
0.159791666666667,9.5,-11.403301940644
0.167083333333333,9.5,-22.1539687153721
0.174375,9.5,-30.4195168133799
0.181666666666667,9.5,-38.0981269792903
0.188958333333333,9.5,-45.2940849269542
0.19625,9.5,-50.6707641356931
0.203541666666667,9.5,-55.1253428798507
0.210833333333333,9.5,-59.3461666694362
0.218125,9.5,-62.273139576344
0.225416666666667,9.5,-65.0514230802892
0.232708333333333,9.5,-67.389232233893
0.24,9.5,-69.897409097368
