"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(2,1)) [deg]"
0.065,9.5,-9.09840825335755
0.0722916666666667,9.5,-10.0058139176061
0.0795833333333333,9.5,-11.0768701869873
0.086875,9.5,-12.2386963459684
0.0941666666666667,9.5,-13.557415106502
0.101458333333333,9.5,-15.0235537939664
0.10875,9.5,-16.5932339560659
0.116041666666667,9.5,-18.0905329811434
0.123333333333333,9.5,-19.3246096331372
0.130625,9.5,-19.5304547562769
0.137916666666667,9.5,-17.1977654469932
0.145208333333333,9.5,-10.9706494397679
0.1525,9.5,-0.781721354626624
0.159791666666667,9.5,9.23287027381876
0.167083333333333,9.5,15.9696730093558
0.174375,9.5,18.6163041395273
0.181666666666667,9.5,19.3304503693301
0.188958333333333,9.5,18.8509972728655
0.19625,9.5,17.9417696475695
0.203541666666667,9.5,16.9142512521889
0.210833333333333,9.5,15.7678707645699
0.218125,9.5,14.9194680604029
0.225416666666667,9.5,14.0478518720949
0.232708333333333,9.5,13.3262717483547
0.24,9.5,12.5182785962625
