"lumped_element_capacitance [pF]","Freq [GHz]","dB(S(1,1)) []"
0.065,9.5,-15.9837927794432
0.0722916666666667,9.5,-15.1372261518163
0.0795833333333333,9.5,-14.2227257470986
0.086875,9.5,-13.3144169510187
0.0941666666666667,9.5,-12.3646463684074
0.101458333333333,9.5,-11.3776650573946
0.10875,9.5,-10.3716178117163
0.116041666666667,9.5,-9.39165506384537
0.123333333333333,9.5,-8.39442311100493
0.130625,9.5,-7.47479508050168
0.137916666666667,9.5,-6.69066233452197
0.145208333333333,9.5,-6.20006176274494
0.1525,9.5,-6.01641713753914
0.159791666666667,9.5,-6.1434733828185
0.167083333333333,9.5,-6.56242189037122
0.174375,9.5,-7.07275047964212
0.181666666666667,9.5,-7.74000708472454
0.188958333333333,9.5,-8.54183340850218
0.19625,9.5,-9.25236909612143
0.203541666666667,9.5,-9.9368349941212
0.210833333333333,9.5,-10.6679755182744
0.218125,9.5,-11.2093377387755
0.225416666666667,9.5,-11.7778817104006
0.232708333333333,9.5,-12.2646645865313
0.24,9.5,-12.827533408226
