"lumped_element_capacitance [pF]","Freq [GHz]","dB(S(2,1)) []"
0.065,9.75,-0.641475566284457
0.0722916666666667,9.75,-0.821371583140652
0.0795833333333333,9.75,-1.0784260517944
0.086875,9.75,-1.44130837477853
0.0941666666666667,9.75,-1.95248118138432
0.101458333333333,9.75,-2.70507076414171
0.10875,9.75,-3.73760254738505
0.116041666666667,9.75,-4.91799072669764
0.123333333333333,9.75,-5.80059781781884
0.130625,9.75,-5.59287628597998
0.137916666666667,9.75,-4.51673166555755
0.145208333333333,9.75,-3.45955348588603
0.1525,9.75,-2.62692745488963
0.159791666666667,9.75,-2.02920489162115
0.167083333333333,9.75,-1.58303456551802
0.174375,9.75,-1.29695521181395
0.181666666666667,9.75,-1.06486239982452
0.188958333333333,9.75,-0.873021167200237
0.19625,9.75,-0.74261626804362
0.203541666666667,9.75,-0.640182062506922
0.210833333333333,9.75,-0.551369948168252
0.218125,9.75,-0.49280234888497
0.225416666666667,9.75,-0.440298557823789
0.232708333333333,9.75,-0.399913087561532
0.24,9.75,-0.358600476526958
