"Phase [deg]","Freq [GHz]","Mx_imag []"
0,8,-4.13902861167571e-05
0,8.05714285714286,-4.27026680985943e-05
0,8.11428571428571,-4.39666709086977e-05
0,8.17142857142857,-4.51827000133537e-05
0,8.22857142857143,-4.63511443784629e-05
0,8.28571428571429,-4.74723817768296e-05
0,8.34285714285714,-4.85467829370187e-05
0,8.4,-4.95747155459949e-05
0,8.45714285714286,-5.05565498732295e-05
0,8.51428571428571,-5.14926616024072e-05
0,8.57142857142857,-5.23834379730937e-05
0,8.62857142857143,-5.3229281595576e-05
0,8.68571428571429,-5.4030616733291e-05
0,8.74285714285714,-5.47878952724425e-05
0,8.8,-5.55016026676903e-05
0,8.85714285714286,-5.61722659047464e-05
0,8.91428571428571,-5.68004616969661e-05
0,8.97142857142857,-5.73868248807443e-05
0,9.02857142857143,-5.79320567295878e-05
0,9.08571428571429,-5.84369319174452e-05
0,9.14285714285714,-5.89022988291177e-05
0,9.2,-5.93290651250218e-05
0,9.25714285714286,-5.97181538619459e-05
0,9.31428571428571,-6.00703822970431e-05
0,9.37142857142857,-6.03861797081031e-05
0,9.42857142857143,-6.06649220595354e-05
0,9.48571428571429,-6.09033474696151e-05
0,9.54285714285714,-6.10916122860289e-05
0,9.6,-6.12028710322106e-05
0,9.65714285714286,-6.11634565887505e-05
0,9.71428571428571,-6.07596918875313e-05
0,9.77142857142857,-5.93329347316999e-05
0,9.82857142857143,-5.50561213754347e-05
0,9.88571428571428,-4.72791603910629e-05
0,9.94285714285714,-4.55808476816772e-05
0,10,-4.90124212942211e-05
0,10.0571428571429,-5.16785157887032e-05
0,10.1142857142857,-5.31834044780159e-05
0,10.1714285714286,-5.39777023883662e-05
0,10.2285714285714,-5.4351365811402e-05
0,10.2857142857143,-5.44592949604119e-05
0,10.3428571428571,-5.43859008400566e-05
0,10.4,-5.41796263459458e-05
0,10.4571428571429,-5.38697776216517e-05
0,10.5142857142857,-5.34749350536892e-05
0,10.5714285714286,-5.30073500240673e-05
0,10.6285714285714,-5.24753625220649e-05
0,10.6857142857143,-5.188478240261e-05
0,10.7428571428571,-5.12397123733907e-05
0,10.8,-5.05430450652389e-05
0,10.8571428571429,-4.97967720106014e-05
0,10.9142857142857,-4.90021668819405e-05
0,10.9714285714286,-4.81598888276689e-05
0,11.0285714285714,-4.72700242519679e-05
0,11.0857142857143,-4.63320778459585e-05
0,11.1428571428571,-4.53449109299944e-05
0,11.2,-4.43066243957853e-05
0,11.2571428571429,-4.3214363755644e-05
0,11.3142857142857,-4.20640212473387e-05
0,11.3714285714286,-4.08497754283187e-05
0,11.4285714285714,-3.95633794397273e-05
0,11.4857142857143,-3.81930319485337e-05
0,11.5428571428571,-3.67215209449701e-05
0,11.6,-3.51230528178582e-05
0,11.6571428571429,-3.33575340388653e-05
0,11.7142857142857,-3.13595858096815e-05
0,11.7714285714286,-2.9015659529406e-05
0,11.8285714285714,-2.61111432425454e-05
0,11.8857142857143,-2.21900366084661e-05
0,11.9428571428571,-1.61060517246299e-05
0,12,-4.2370229287145e-06
