"Freq [GHz]","mag(S(2,1)) []"
8,0.99702069355847
8.05714285714286,0.996930416202211
8.11428571428571,0.996822180051128
8.17142857142857,0.996694435309871
8.22857142857143,0.996545279367484
8.28571428571429,0.996372386753139
8.34285714285714,0.99617291911067
8.4,0.995943408940196
8.45714285714286,0.995679608477319
8.51428571428571,0.995376291675984
8.57142857142857,0.995026992311376
8.62857142857143,0.99462365391963
8.68571428571429,0.994156156352697
8.74285714285714,0.993611667054309
8.8,0.992973739282995
8.85714285714286,0.992221038524276
8.91428571428571,0.991325512016648
8.97142857142857,0.990249706421127
9.02857142857143,0.988942751791104
9.08571428571429,0.987334203001474
9.14285714285714,0.98532433937013
9.2,0.982768419550747
9.25714285714286,0.979450245622459
9.31428571428571,0.975036051477881
9.37142857142857,0.968990544114321
9.42857142857143,0.960416556978994
9.48571428571429,0.947732666762257
9.54285714285714,0.927991822795946
9.6,0.895396455944562
9.65714285714286,0.838251011276625
9.71428571428571,0.73580675382408
9.77142857142857,0.583580879818201
9.82857142857143,0.530926654921442
9.88571428571428,0.673862508440022
9.94285714285714,0.806312852116608
10,0.881827401541068
10.0571428571429,0.923226278271958
10.1142857142857,0.947114057811737
10.1714285714286,0.961780021774882
10.2285714285714,0.971298038767515
10.2857142857143,0.977768849290252
10.3428571428571,0.982340049399889
10.4,0.985673447371436
10.4571428571429,0.98816938951092
10.5142857142857,0.990080301688817
10.5714285714286,0.991571146558729
10.6285714285714,0.992753128884084
10.6857142857143,0.993703271245322
10.7428571428571,0.994476203089373
10.8,0.995111492261139
10.8571428571429,0.99563833657222
10.9142857142857,0.99607864357369
10.9714285714286,0.996449099051947
11.0285714285714,0.996762585254395
11.0857142857143,0.9970291715968
11.1428571428571,0.997256818582136
11.2,0.997451885760653
11.2571428571429,0.997619503483354
11.3142857142857,0.997763848392434
11.3714285714286,0.997888349622629
11.4285714285714,0.997995843815259
11.4857142857143,0.998088690350686
11.5428571428571,0.998168851809261
11.6,0.99823793549113
11.6571428571429,0.998297172115203
11.7142857142857,0.998347253174113
11.7714285714286,0.998387768913665
11.8285714285714,0.998415292082015
11.8857142857143,0.998415800736508
11.9428571428571,0.99832506771762
12,0.997688336009875
