"Freq [GHz]","ang_deg(S(2,1)) [deg]"
8,-6.86888816890238
8.05714285714286,-6.87778900059872
8.11428571428571,-6.892985981758
8.17142857142857,-6.91477887041831
8.22857142857143,-6.94353684093754
8.28571428571429,-6.97970840111153
8.34285714285714,-7.02383388156961
8.4,-7.07656115080909
8.45714285714286,-7.13866542790318
8.51428571428571,-7.21107436225417
8.57142857142857,-7.29489996302482
8.62857142857143,-7.39147953973805
8.68571428571429,-7.50242863920059
8.74285714285714,-7.62971015015063
8.8,-7.77572548061986
8.85714285714286,-7.94343628355401
8.91428571428571,-8.13652907749747
8.97142857142857,-8.3596410324532
9.02857142857143,-8.61867439785119
9.08571428571429,-8.92124158767284
9.14285714285714,-9.27730619955322
9.2,-9.70012279014252
9.25714285714286,-10.2076386638134
9.31428571428571,-10.8246152762563
9.37142857142857,-11.5858584259143
9.42857142857143,-12.5410543605423
9.48571428571429,-13.761393313687
9.54285714285714,-15.3453416698005
9.6,-17.4049051681044
9.65714285714286,-19.9268330308765
9.71428571428571,-21.9315569349273
9.77142857142857,-17.5453650418548
9.82857142857143,2.78618400447179
9.88571428571428,14.451982140896
9.94285714285714,13.7718730418908
10,10.9995723408366
10.0571428571429,8.56073507494933
10.1142857142857,6.67942713471135
10.1714285714286,5.24383267835632
10.2285714285714,4.13191705997223
10.2857142857143,3.25329622109361
10.3428571428571,2.54528350776264
10.4,1.96454668939544
10.4571428571429,1.48069644511094
10.5142857142857,1.07200081328747
10.5714285714286,0.722602031774805
10.6285714285714,0.420703407549273
10.6857142857143,0.157371161503413
10.7428571428571,-0.0742717699448516
10.8,-0.279598559188071
10.8571428571429,-0.462864662539928
10.9142857142857,-0.62748239066463
10.9714285714286,-0.776219408006328
11.0285714285714,-0.911344512292973
11.0857142857143,-1.03473631828282
11.1428571428571,-1.1479654921562
11.2,-1.25235793346166
11.2571428571429,-1.34904416280542
11.3142857142857,-1.43899877482755
11.3714285714286,-1.52307294323973
11.4285714285714,-1.60202251785555
11.4857142857143,-1.67653424855366
11.5428571428571,-1.74725329284966
11.6,-1.81481695410708
11.6571428571429,-1.87990399684379
11.7142857142857,-1.94331989284748
11.7714285714286,-2.00616821949859
11.8285714285714,-2.07024990738352
11.8857142857143,-2.13916178191871
11.9428571428571,-2.22203255716546
12,-2.34934775061503
