"lumped_element_capacitance [pF]","Freq [GHz]","RadiationEfficiency []"
0.065,9.75,0.897867598002641
0.0722916666666667,9.75,0.904481467836711
0.0795833333333333,9.75,0.909885355813464
0.086875,9.75,0.912959214000534
0.0941666666666667,9.75,0.915384294070723
0.101458333333333,9.75,0.914455936804473
0.10875,9.75,0.913282944244205
0.116041666666667,9.75,0.906795018517807
0.123333333333333,9.75,0.90338429354484
0.130625,9.75,0.896994327308306
0.137916666666667,9.75,0.8913990012934
0.145208333333333,9.75,0.881528395871886
0.1525,9.75,0.873060787178693
0.159791666666667,9.75,0.86322885164042
0.167083333333333,9.75,0.852397587154867
0.174375,9.75,0.842268529892794
0.181666666666667,9.75,0.830890218034793
0.188958333333333,9.75,0.819525815232263
0.19625,9.75,0.806605625720163
0.203541666666667,9.75,0.794241341046882
0.210833333333333,9.75,0.781579632388135
0.218125,9.75,0.770372263963251
0.225416666666667,9.75,0.758199929489917
0.232708333333333,9.75,0.746763804141519
0.24,9.75,0.733578200806146
