"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(2,1)) [deg]"
0.065,9.75,-11.6210803676843
0.0722916666666667,9.75,-12.9686076097248
0.0795833333333333,9.75,-14.5329996348918
0.086875,9.75,-16.185218019298
0.0941666666666667,9.75,-17.7751362536276
0.101458333333333,9.75,-18.825666407083
0.10875,9.75,-18.1990936752477
0.116041666666667,9.75,-13.9551256589011
0.123333333333333,9.75,-4.0255485624609
0.130625,9.75,7.99037556654877
0.137916666666667,9.75,15.9197018354491
0.145208333333333,9.75,18.6000419576286
0.1525,9.75,18.7814435124111
0.159791666666667,9.75,17.9426522470714
0.167083333333333,9.75,16.703086127859
0.174375,9.75,15.6028247841261
0.181666666666667,9.75,14.4518600876513
0.188958333333333,9.75,13.3095635255854
0.19625,9.75,12.3964901169072
0.203541666666667,9.75,11.5907576754571
0.210833333333333,9.75,10.8134420717458
0.218125,9.75,10.2510001319375
0.225416666666667,9.75,9.7034334855995
0.232708333333333,9.75,9.25640153775994
0.24,9.75,8.76149760460936
