"lumped_element_capacitance [pF]","Freq [GHz]","dB(S(2,1)) []"
0.065,10,-1.2638058109767
0.0722916666666667,10,-1.74405064139772
0.0795833333333333,10,-2.46675276430338
0.086875,10,-3.51338331092364
0.0941666666666667,10,-4.74494535855615
0.101458333333333,10,-5.61156904502107
0.10875,10,-5.28481716800661
0.116041666666667,10,-4.2055338676319
0.123333333333333,10,-3.09434618061222
0.130625,10,-2.26773490747671
0.137916666666667,10,-1.67943802175111
0.145208333333333,10,-1.30264157621729
0.1525,10,-1.03630264287574
0.159791666666667,10,-0.843370426031966
0.167083333333333,10,-0.695486724619328
0.174375,10,-0.594439257187733
0.181666666666667,10,-0.509073260060248
0.188958333333333,10,-0.435858531842529
0.19625,10,-0.382680629461716
0.203541666666667,10,-0.339130291750508
0.210833333333333,10,-0.300517717354974
0.218125,10,-0.273490463145572
0.225416666666667,10,-0.24908020813812
0.232708333333333,10,-0.229821369200624
0.24,10,-0.209703047719241
