"lumped_element_capacitance [pF]","Freq [GHz]","RadiatedPower []"
0.065,10,0.166694508914253
0.0722916666666667,10,0.217048638569926
0.0795833333333333,10,0.282557737575426
0.086875,10,0.3594836731974
0.0941666666666667,10,0.427990599261437
0.101458333333333,10,0.463515411891281
0.10875,10,0.446619075390915
0.116041666666667,10,0.389237673180217
0.123333333333333,10,0.317716623124658
0.130625,10,0.251457168406976
0.137916666666667,10,0.197050523492598
0.145208333333333,10,0.157596097078274
0.1525,10,0.128088053159326
0.159791666666667,10,0.105556951036769
0.167083333333333,10,0.0877301715928052
0.174375,10,0.0751582757114542
0.181666666666667,10,0.064427640547583
0.188958333333333,10,0.0551868368680042
0.19625,10,0.0482530360431165
0.203541666666667,10,0.0425738867335613
0.210833333333333,10,0.0375615978042626
0.218125,10,0.0339928134950879
0.225416666666667,10,0.0307683852831252
0.232708333333333,10,0.0281977827426188
0.24,10,0.0255413290385143
