"lumped_element_capacitance [pF]","Freq [GHz]","re(S(2,1)-1-S(1,1)) []"
0.065,10,-0.275969428318504
0.0722916666666667,10,-0.380198848309307
0.0795833333333333,10,-0.519352115838777
0.086875,10,-0.687692265958596
0.0941666666666667,10,-0.846266491980283
0.101458333333333,10,-0.943258225223871
0.10875,10,-0.93017274613917
0.116041666666667,10,-0.82870774823867
0.123333333333333,10,-0.68563159912031
0.130625,10,-0.549016195096964
0.137916666666667,10,-0.432609319373708
0.145208333333333,10,-0.348085342219111
0.1525,10,-0.282976510174318
0.159791666666667,10,-0.232872923133945
0.167083333333333,10,-0.192602243915629
0.174375,10,-0.163834614481878
0.181666666666667,10,-0.138993748278606
0.188958333333333,10,-0.117298808833664
0.19625,10,-0.101042284356074
0.203541666666667,10,-0.0875706780241901
0.210833333333333,10,-0.0754971215732003
0.218125,10,-0.0667354176768357
0.225416666666667,10,-0.058853484137722
0.232708333333333,10,-0.0523954191073261
0.24,10,-0.0457489234112703
