"lumped_element_capacitance [pF]","Freq [GHz]","dB(S(1,1)) []"
0.065,10,-11.153571798124
0.0722916666666667,10,-9.95887631427772
0.0795833333333333,10,-8.75910770680806
0.086875,10,-7.67173768408952
0.0941666666666667,10,-6.86208052467611
0.101458333333333,10,-6.46913575433637
0.10875,10,-6.58251966853714
0.116041666666667,10,-7.11921129698354
0.123333333333333,10,-7.96397317735108
0.130625,10,-8.93626547724272
0.137916666666667,10,-9.9661453664127
0.145208333333333,10,-10.8890205349326
0.1525,10,-11.7547000065281
0.159791666666667,10,-12.5557007335242
0.167083333333333,10,-13.3268278671932
0.174375,10,-13.9558476877878
0.181666666666667,10,-14.5949936741415
0.188958333333333,10,-15.2411569903454
0.19625,10,-15.7866159905858
0.203541666666667,10,-16.2969203893086
0.210833333333333,10,-16.8124706068312
0.218125,10,-17.2144706013483
0.225416666666667,10,-17.6188869865281
0.232708333333333,10,-17.9654903800035
0.24,10,-18.3649564395585
