"lumped_element_capacitance [pF]","Freq [GHz]","im(S(2,1)-1-S(1,1)) []"
0.065,10,-0.477772949987073
0.0722916666666667,10,-0.507276616285618
0.0795833333333333,10,-0.511025384754292
0.086875,10,-0.45846196047304
0.0941666666666667,10,-0.328404108759915
0.101458333333333,10,-0.114220688249052
0.10875,10,0.120979559231937
0.116041666666667,10,0.301342313785203
0.123333333333333,10,0.41207846805099
0.130625,10,0.457981727895602
0.137916666666667,10,0.464413424514064
0.145208333333333,10,0.451805676844791
0.1525,10,0.431293611285782
0.159791666666667,10,0.408213959236411
0.167083333333333,10,0.38397774496747
0.174375,10,0.363973291770538
0.181666666666667,10,0.343281442791647
0.188958333333333,10,0.322699846909577
0.19625,10,0.305672699621346
0.203541666666667,10,0.290170952740013
0.210833333333333,10,0.274995441046898
0.218125,10,0.263499599661901
0.225416666666667,10,0.252221493084188
0.232708333333333,10,0.242861369375121
0.24,10,0.232295650173902
