"lumped_element_capacitance [pF]","Freq [GHz]","re(S(2,1)-1+S(1,1)) []"
0.065,10,-0.0539489161404029
0.0722916666666667,10,-0.0526068408626704
0.0795833333333333,10,-0.0486053457596368
0.086875,10,-0.0399588142241485
0.0941666666666667,10,-0.0266770602710339
0.101458333333333,10,-0.00987928623883222
0.10875,10,0.00467186745633469
0.116041666666667,10,0.0128680346431711
0.123333333333333,10,0.01540725724513
0.130625,10,0.0141644370493494
0.137916666666667,10,0.0111527099046154
0.145208333333333,10,0.00774355614273675
0.1525,10,0.00439849938660122
0.159791666666667,10,0.0014537227775029
0.167083333333333,10,-0.00116010169893914
0.174375,10,-0.00354062041654765
0.181666666666667,10,-0.00550824323964565
0.188958333333333,10,-0.00726215080569702
0.19625,10,-0.00879700045432684
0.203541666666667,10,-0.0100910385554224
0.210833333333333,10,-0.0112722080898402
0.218125,10,-0.0123464858697987
0.225416666666667,10,-0.013233964161494
0.232708333333333,10,-0.0141600759945969
0.24,10,-0.0149832645529375
