"lumped_element_capacitance [pF]","Freq [GHz]","im(S(2,1)-1+S(1,1)) []"
0.065,10,0.0295722472230234
0.0722916666666667,10,0.0372315080905639
0.0795833333333333,10,0.0463690877150991
0.086875,10,0.0555165158422191
0.0941666666666667,10,0.0616348103063064
0.101458333333333,10,0.0609332336106576
0.10875,10,0.0524260178879545
0.116041666666667,10,0.0401038101340782
0.123333333333333,10,0.0276533730466516
0.130625,10,0.0177064336793468
0.137916666666667,10,0.0103147861190279
0.145208333333333,10,0.00532945895135775
0.1525,10,0.00180087528496919
0.159791666666667,10,-0.000639359214263308
0.167083333333333,10,-0.00240520056123272
0.174375,10,-0.00368945451282052
0.181666666666667,10,-0.00462132027988413
0.188958333333333,10,-0.00524929123056081
0.19625,10,-0.005817691736828
0.203541666666667,10,-0.00619465589758172
0.210833333333333,10,-0.00644260975727745
0.218125,10,-0.00669798956952086
0.225416666666667,10,-0.00687163455260592
0.232708333333333,10,-0.00701768918907617
0.24,10,-0.00716099942987833
