"lumped_element_capacitance [pF]","Freq [GHz]","RadiationEfficiency []"
0.065,10,0.926680020473867
0.0722916666666667,10,0.92915383685187
0.0795833333333333,10,0.930285751706788
0.086875,10,0.929333649395489
0.0941666666666667,10,0.92764348796729
0.101458333333333,10,0.922732777680906
0.10875,10,0.917564207730643
0.116041666666667,10,0.907304454987156
0.123333333333333,10,0.900111473851649
0.130625,10,0.889941076144228
0.137916666666667,10,0.880650693110549
0.145208333333333,10,0.867404717373688
0.1525,10,0.855554590205848
0.159791666666667,10,0.842466256737434
0.167083333333333,10,0.828438589157231
0.174375,10,0.815367416305484
0.181666666666667,10,0.801064632110021
0.188958333333333,10,0.786625206500779
0.19625,10,0.771047190814356
0.203541666666667,10,0.756077146053165
0.210833333333333,10,0.740818027531806
0.218125,10,0.727289147672604
0.225416666666667,10,0.713006817808541
0.232708333333333,10,0.699735212187375
0.24,10,0.684521323579864
