"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0.065,8,79.7877314589922
0.065,8.08163265306123,80.7083758784564
0.065,8.16326530612245,81.283237248178
0.065,8.24489795918367,80.8409988143761
0.065,8.3265306122449,75.1248222912684
0.065,8.40816326530612,24.2503314214264
0.065,8.48979591836735,28.0236292164669
0.065,8.57142857142857,64.3747884354341
0.065,8.65306122448979,74.0453837037609
0.065,8.73469387755102,77.7031867326461
0.065,8.81632653061225,79.5290169165144
0.065,8.89795918367347,80.5633763395331
0.065,8.97959183673469,81.1604389652385
0.065,9.06122448979592,81.4650663916688
0.065,9.14285714285714,81.5415427742256
0.065,9.22448979591837,81.4169228525635
0.065,9.30612244897959,81.0978303195346
0.065,9.38775510204082,80.5773764570811
0.065,9.46938775510204,79.8377641612964
0.065,9.55102040816326,78.8506380598758
0.065,9.63265306122449,77.575962095864
0.065,9.71428571428572,75.9596814588276
0.065,9.79591836734694,73.9302162461854
0.065,9.87755102040816,71.3938506733714
0.065,9.95918367346939,68.229448103909
0.065,10.0408163265306,64.2840338076687
0.065,10.1224489795918,59.3734464483185
0.065,10.2040816326531,53.297536007415
0.065,10.2857142857143,45.8867960588536
0.065,10.3673469387755,37.0982888027786
0.065,10.4489795918367,27.147988081314
0.065,10.530612244898,16.5869505589771
0.065,10.6122448979592,6.18651193718661
0.065,10.6938775510204,-3.34949438545142
0.065,10.7755102040816,-11.6162253749981
0.065,10.8571428571429,-18.5270817046506
0.065,10.9387755102041,-24.1958665916561
0.065,11.0204081632653,-28.8145984042885
0.065,11.1020408163265,-32.580550469305
0.065,11.1836734693878,-35.6659191629301
0.065,11.265306122449,-38.2106935211836
0.065,11.3469387755102,-40.3251097702747
0.065,11.4285714285714,-42.0949073037006
0.065,11.5102040816327,-43.5866327076452
0.065,11.5918367346939,-44.852111547912
0.065,11.6734693877551,-45.9319562764362
0.065,11.7551020408163,-46.8582298521404
0.065,11.8367346938776,-47.656439133256
0.065,11.9183673469388,-48.3470184043451
0.065,12,-48.9464321699115
0.0722916666666667,8,79.0177143945992
0.0722916666666667,8.08163265306123,80.0629869495645
0.0722916666666667,8.16326530612245,80.8289723096359
0.0722916666666667,8.24489795918367,80.6698088287007
0.0722916666666667,8.3265306122449,74.5018837367816
0.0722916666666667,8.40816326530612,19.8116905245373
0.0722916666666667,8.48979591836735,44.7801994390007
0.0722916666666667,8.57142857142857,67.4967537184167
0.0722916666666667,8.65306122448979,74.0464245530336
0.0722916666666667,8.73469387755102,76.8168355636938
0.0722916666666667,8.81632653061225,78.265625080685
