"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(2,1)) [deg]"
0.065,8,-4.34812292997136
0.065,8.08163265306123,-4.66397025319898
0.065,8.16326530612245,-5.14821778480469
0.065,8.24489795918367,-5.96488725836691
0.065,8.3265306122449,-7.6445168072652
0.065,8.40816326530612,-1.40158744682587
0.065,8.48979591836735,-1.23046672959585
0.065,8.57142857142857,-2.90342830807166
0.065,8.65306122448979,-3.7565001272385
0.065,8.73469387755102,-4.34620199634015
0.065,8.81632653061225,-4.83293498005854
0.065,8.89795918367347,-5.27836647086525
0.065,8.97959183673469,-5.71255472117338
0.065,9.06122448979592,-6.1533346879299
0.065,9.14285714285714,-6.61328930298745
0.065,9.22448979591837,-7.1027188423125
0.065,9.30612244897959,-7.63110089575154
0.065,9.38775510204082,-8.20790063233799
0.065,9.46938775510204,-8.84304462751933
0.065,9.55102040816326,-9.54713769604939
0.065,9.63265306122449,-10.331342243817
0.065,9.71428571428572,-11.2066377622188
0.065,9.79591836734694,-12.1818135053145
0.065,9.87755102040816,-13.2588102327639
0.065,9.95918367346939,-14.4225051836617
0.065,10.0408163265306,-15.6189677879876
0.065,10.1224489795918,-16.7105818547174
0.065,10.2040816326531,-17.388979451888
0.065,10.2857142857143,-17.0318199124331
0.065,10.3673469387755,-14.5814187374514
0.065,10.4489795918367,-8.89688254365756
0.065,10.530612244898,-0.352729656817611
0.065,10.6122448979592,8.0088713775657
0.065,10.6938775510204,13.4326064704523
0.065,10.7755102040816,15.8383882821924
0.065,10.8571428571429,16.3449426635718
0.065,10.9387755102041,15.900293193007
0.065,11.0204081632653,15.0533427893349
0.065,11.1020408163265,14.0800476118777
0.065,11.1836734693878,13.1086090857604
0.065,11.265306122449,12.1936113549632
0.065,11.3469387755102,11.3543823625926
0.065,11.4285714285714,10.593939435495
0.065,11.5102040816327,9.90817693441843
0.065,11.5918367346939,9.29026627503922
0.065,11.6734693877551,8.73272007570321
0.065,11.7551020408163,8.22831814984125
0.065,11.8367346938776,7.77048199323733
0.065,11.9183673469388,7.35338684641481
0.065,12,6.97195439283205
0.0722916666666667,8,-4.3873349663727
0.0722916666666667,8.08163265306123,-4.73150720136416
0.0722916666666667,8.16326530612245,-5.20860171659981
0.0722916666666667,8.24489795918367,-5.98259010599309
0.0722916666666667,8.3265306122449,-7.53718510283475
0.0722916666666667,8.40816326530612,-0.765204426965084
0.0722916666666667,8.48979591836735,-2.16918233856839
0.0722916666666667,8.57142857142857,-3.52628099710771
0.0722916666666667,8.65306122448979,-4.26647266370899
0.0722916666666667,8.73469387755102,-4.81147620415853
0.0722916666666667,8.81632653061225,-5.28526272581107
0.0722916666666667,8.89795918367347,-5.73711980183875
0.0722916666666667,8.97959183673469,-6.19207874498731
0.0722916666666667,9.06122448979592,-6.6658544004457
0.0722916666666667,9.14285714285714,-7.17036701337403
0.0722916666666667,9.22448979591837,-7.71617043063571
0.0722916666666667,9.30612244897959,-8.31368373298522
0.0722916666666667,9.38775510204082,-8.97386945567974
0.0722916666666667,9.46938775510204,-9.70854918919154
0.0722916666666667,9.55102040816326,-10.5302964545037
0.0722916666666667,9.63265306122449,-11.4515723717772
0.0722916666666667,9.71428571428572,-12.4822870963843
0.0722916666666667,9.79591836734694,-13.6239771641351
0.0722916666666667,9.87755102040816,-14.8566850406285
0.0722916666666667,9.95918367346939,-16.1102834886958
0.0722916666666667,10.0408163265306,-17.2039420345193
0.0722916666666667,10.1224489795918,-17.7276917434958
0.0722916666666667,10.2040816326531,-16.8566793090529
0.0722916666666667,10.2857142857143,-13.2706640458574
0.0722916666666667,10.3673469387755,-5.9645437316146
0.0722916666666667,10.4489795918367,3.47805968608732
0.0722916666666667,10.530612244898,11.141753406624
0.0722916666666667,10.6122448979592,15.2204395904314
0.0722916666666667,10.6938775510204,16.5630005809798
0.0722916666666667,10.7755102040816,16.4369560614709
0.0722916666666667,10.8571428571429,15.6617152795377
0.0722916666666667,10.9387755102041,14.658068703194
0.0722916666666667,11.0204081632653,13.6211416021247
0.0722916666666667,11.1020408163265,12.6341066981082
0.0722916666666667,11.1836734693878,11.7274847571756
0.0722916666666667,11.265306122449,10.9079198153558
0.0722916666666667,11.3469387755102,10.171788350187
0.0722916666666667,11.4285714285714,9.51154729537908
0.0722916666666667,11.5102040816327,8.91863708522735
0.0722916666666667,11.5918367346939,8.38475234916125
0.0722916666666667,11.6734693877551,7.90234209248088
0.0722916666666667,11.7551020408163,7.4647516353674
0.0722916666666667,11.8367346938776,7.06620447041286
0.0722916666666667,11.9183673469388,6.70171917304797
0.0722916666666667,12,6.3670064781449
0.0795833333333333,8,-4.4328475735735
0.0795833333333333,8.08163265306123,-4.75318489889695
0.0795833333333333,8.16326530612245,-5.19702633996086
0.0795833333333333,8.24489795918367,-5.90315509914159
0.0795833333333333,8.3265306122449,-7.29783989748501
0.0795833333333333,8.40816326530612,-1.49181559604729
0.0795833333333333,8.48979591836735,-2.83475530309516
0.0795833333333333,8.57142857142857,-4.04484662500346
0.0795833333333333,8.65306122448979,-4.73958419102387
0.0795833333333333,8.73469387755102,-5.27657858440195
0.0795833333333333,8.81632653061225,-5.76163946580547
0.0795833333333333,8.89795918367347,-6.23791306112761
0.0795833333333333,8.97959183673469,-6.72838540899061
0.0795833333333333,9.06122448979592,-7.24850471070149
0.0795833333333333,9.14285714285714,-7.81089115622546
0.0795833333333333,9.22448979591837,-8.42744408013157
0.0795833333333333,9.30612244897959,-9.11041370451193
0.0795833333333333,9.38775510204082,-9.87291451107496
0.0795833333333333,9.46938775510204,-10.728899103403
0.0795833333333333,9.55102040816326,-11.6922280911754
0.0795833333333333,9.63265306122449,-12.7738560539175
0.0795833333333333,9.71428571428572,-13.9748868720375
0.0795833333333333,9.79591836734694,-15.2705128122596
0.0795833333333333,9.87755102040816,-16.5740784826109
0.0795833333333333,9.95918367346939,-17.6597397480036
0.0795833333333333,10.0408163265306,-18.0103424601277
0.0795833333333333,10.1224489795918,-16.5921289843887
0.0795833333333333,10.2040816326531,-11.8667763781038
0.0795833333333333,10.2857142857143,-3.19610976237665
0.0795833333333333,10.3673469387755,6.56321370830566
0.0795833333333333,10.4489795918367,13.303779668662
0.0795833333333333,10.530612244898,16.2997720095855
0.0795833333333333,10.6122448979592,16.9176398708482
0.0795833333333333,10.6938775510204,16.3956410715645
0.0795833333333333,10.7755102040816,15.4255416735647
0.0795833333333333,10.8571428571429,14.3356859021882
0.0795833333333333,10.9387755102041,13.2684618476254
0.0795833333333333,11.0204081632653,12.2790523181571
0.0795833333333333,11.1020408163265,11.3834504794075
0.0795833333333333,11.1836734693878,10.580808393773
0.0795833333333333,11.265306122449,9.86365822721393
0.0795833333333333,11.3469387755102,9.22250982887752
0.0795833333333333,11.4285714285714,8.64784949760032
0.0795833333333333,11.5102040816327,8.13094142776867
0.0795833333333333,11.5918367346939,7.66408476041095
0.0795833333333333,11.6734693877551,7.24063218926572
0.0795833333333333,11.7551020408163,6.85491349784513
0.0795833333333333,11.8367346938776,6.50213040210063
0.0795833333333333,11.9183673469388,6.17825233237429
0.0795833333333333,12,5.87992524127354
0.086875,8,-4.48437575446715
0.086875,8.08163265306123,-4.79509611966751
0.086875,8.16326530612245,-5.21896953481839
0.086875,8.24489795918367,-5.87985174556194
0.086875,8.3265306122449,-7.16343694257736
0.086875,8.40816326530612,-1.99966160298599
0.086875,8.48979591836735,-3.43075028544267
0.086875,8.57142857142857,-4.50979281233814
0.086875,8.65306122448979,-5.16901043284161
0.086875,8.73469387755102,-5.70557234923536
0.086875,8.81632653061225,-6.20886916383378
0.086875,8.89795918367347,-6.71679000174738
0.086875,8.97959183673469,-7.25085369060827
0.086875,9.06122448979592,-7.82675007091684
0.086875,9.14285714285714,-8.45833863345664
0.086875,9.22448979591837,-9.1594597489679
0.086875,9.30612244897959,-9.94479083645615
0.086875,9.38775510204082,-10.8299892637859
0.086875,9.46938775510204,-11.830781298758
0.086875,9.55102040816326,-12.9598730638821
0.086875,9.63265306122449,-14.2189753392128
0.086875,9.71428571428572,-15.5797312628513
0.086875,9.79591836734694,-16.9397369955499
0.086875,9.87755102040816,-18.0253523932582
0.086875,9.95918367346939,-18.1979786695421
0.086875,10.0408163265306,-16.1827634997977
0.086875,10.1224489795918,-10.2380806237273
0.086875,10.2040816326531,-0.346395676507286
0.086875,10.2857142857143,9.31753228839709
0.086875,10.3673469387755,14.9851783714088
0.086875,10.4489795918367,17.003685870372
0.086875,10.530612244898,17.0281952532901
0.086875,10.6122448979592,16.1988921692713
0.086875,10.6938775510204,15.0850413951428
0.086875,10.7755102040816,13.9372076337645
0.086875,10.8571428571429,12.8553370050858
0.086875,10.9387755102041,11.8724861551593
0.086875,11.0204081632653,10.9932589558119
0.086875,11.1020408163265,10.2109726259614
0.086875,11.1836734693878,9.51519893215163
0.086875,11.265306122449,8.89498465786093
0.086875,11.3469387755102,8.34013659214847
0.086875,11.4285714285714,7.84164757363963
0.086875,11.5102040816327,7.39175274694587
0.086875,11.5918367346939,6.98383880788541
0.086875,11.6734693877551,6.61230678173412
0.086875,11.7551020408163,6.2724323124358
0.086875,11.8367346938776,5.96024122359631
0.086875,11.9183673469388,5.67240608360069
0.086875,12,5.40616415089559
0.0941666666666667,8,-4.54284303183522
0.0941666666666667,8.08163265306123,-4.84192927802942
0.0941666666666667,8.16326530612245,-5.26283883229681
0.0941666666666667,8.24489795918367,-5.91062523672832
0.0941666666666667,8.3265306122449,-6.81530796715111
0.0941666666666667,8.40816326530612,-3.00578140774843
0.0941666666666667,8.48979591836735,-4.29628389224892
0.0941666666666667,8.57142857142857,-5.11087676628959
0.0941666666666667,8.65306122448979,-5.69752771022388
0.0941666666666667,8.73469387755102,-6.21945521525995
0.0941666666666667,8.81632653061225,-6.73516797985736
0.0941666666666667,8.89795918367347,-7.27353687209984
0.0941666666666667,8.97959183673469,-7.85356045497206
0.0941666666666667,9.06122448979592,-8.49091210245651
0.0941666666666667,9.14285714285714,-9.20063714854717
0.0941666666666667,9.22448979591837,-9.99841726316309
0.0941666666666667,9.30612244897959,-10.9009699727809
0.0941666666666667,9.38775510204082,-11.9253231523718
0.0941666666666667,9.46938775510204,-13.0857912248189
0.0941666666666667,9.55102040816326,-14.3856914258789
0.0941666666666667,9.63265306122449,-15.7968078322958
0.0941666666666667,9.71428571428572,-17.2105914958784
0.0941666666666667,9.79591836734694,-18.3271878047994
0.0941666666666667,9.87755102040816,-18.428480541768
0.0941666666666667,9.95918367346939,-16.0601319266971
0.0941666666666667,10.0408163265306,-9.3099150165688
0.0941666666666667,10.1224489795918,1.37435023377644
0.0941666666666667,10.2040816326531,10.9386321322829
0.0941666666666667,10.2857142857143,15.9584655189183
0.0941666666666667,10.3673469387755,17.4183156352851
0.0941666666666667,10.4489795918367,17.1052426806455
0.0941666666666667,10.530612244898,16.097418547499
0.0941666666666667,10.6122448979592,14.89662722597
0.0941666666666667,10.6938775510204,13.7109387931341
0.0941666666666667,10.7755102040816,12.616726201417
0.0941666666666667,10.8571428571429,11.6344394931555
0.0941666666666667,10.9387755102041,10.7620107299729
0.0941666666666667,11.0204081632653,9.9892549181014
0.0941666666666667,11.1020408163265,9.30394203126072
0.0941666666666667,11.1836734693878,8.69423383399915
0.0941666666666667,11.265306122449,8.14954211996093
0.0941666666666667,11.3469387755102,7.66071573102049
0.0941666666666667,11.4285714285714,7.21995925629602
0.0941666666666667,11.5102040816327,6.82066208963349
0.0941666666666667,11.5918367346939,6.45721573187441
0.0941666666666667,11.6734693877551,6.12485163989777
0.0941666666666667,11.7551020408163,5.81951136475922
0.0941666666666667,11.8367346938776,5.53775159284323
0.0941666666666667,11.9183673469388,5.27668278500441
0.0941666666666667,12,5.03393851248294
0.101458333333333,8,-4.60474293610262
0.101458333333333,8.08163265306123,-4.89106053360623
0.101458333333333,8.16326530612245,-5.28460074296123
0.101458333333333,8.24489795918367,-5.85996377587104
0.101458333333333,8.3265306122449,-6.60551640887882
0.101458333333333,8.40816326530612,-3.82012842039027
0.101458333333333,8.48979591836735,-4.82702554585959
0.101458333333333,8.57142857142857,-5.57444481865642
0.101458333333333,8.65306122448979,-6.15343892264215
0.101458333333333,8.73469387755102,-6.69313259830855
0.101458333333333,8.81632653061225,-7.24310896177073
0.101458333333333,8.89795918367347,-7.82995088374109
0.101458333333333,8.97959183673469,-8.47292628773305
0.101458333333333,9.06122448979592,-9.18930003300925
0.101458333333333,9.14285714285714,-9.99651178755323
0.101458333333333,9.22448979591837,-10.9129807115033
0.101458333333333,9.30612244897959,-11.9576089702679
0.101458333333333,9.38775510204082,-13.1468576652019
0.101458333333333,9.46938775510204,-14.4862398013233
0.101458333333333,9.55102040816326,-15.9485158312212
0.101458333333333,9.63265306122449,-17.4204112707315
0.101458333333333,9.71428571428572,-18.5781285773912
0.101458333333333,9.79591836734694,-18.6262424783864
0.101458333333333,9.87755102040816,-15.9303534962637
0.101458333333333,9.95918367346939,-8.42133276905367
0.101458333333333,10.0408163265306,2.92514332619451
0.101458333333333,10.1224489795918,12.283236262968
0.101458333333333,10.2040816326531,16.6989032634888
0.101458333333333,10.2857142857143,17.6887771369734
0.101458333333333,10.3673469387755,17.1044180604355
0.101458333333333,10.4489795918367,15.9568498807583
0.101458333333333,10.530612244898,14.6895937356469
0.101458333333333,10.6122448979592,13.47621876047
0.101458333333333,10.6938775510204,12.3744747421701
0.101458333333333,10.7755102040816,11.3949570339653
0.101458333333333,10.8571428571429,10.530361072272
0.101458333333333,10.9387755102041,9.76769103204705
0.101458333333333,11.0204081632653,9.09320016518342
0.101458333333333,11.1020408163265,8.49424072024852
0.101458333333333,11.1836734693878,7.95981246689406
0.101458333333333,11.265306122449,7.48058178145748
0.101458333333333,11.3469387755102,7.0487055254642
0.101458333333333,11.4285714285714,6.6576031609606
0.101458333333333,11.5102040816327,6.30173667391642
0.101458333333333,11.5918367346939,5.97642101286212
0.101458333333333,11.6734693877551,5.67767178327465
0.101458333333333,11.7551020408163,5.4020902874374
0.101458333333333,11.8367346938776,5.1467834549842
0.101458333333333,11.9183673469388,4.90931540656309
0.101458333333333,12,4.68768725453006
0.10875,8,-4.67734527298522
0.10875,8.08163265306123,-4.97197766558781
0.10875,8.16326530612245,-5.3584572236088
0.10875,8.24489795918367,-5.95411594194831
0.10875,8.3265306122449,-6.36231024544126
0.10875,8.40816326530612,-4.68028107683473
0.10875,8.48979591836735,-5.55562892020999
0.10875,8.57142857142857,-6.14430556360261
0.10875,8.65306122448979,-6.67626563496241
0.10875,8.73469387755102,-7.21760061428963
0.10875,8.81632653061225,-7.79732144912585
0.10875,8.89795918367347,-8.43483374519971
0.10875,8.97959183673469,-9.14744909427748
0.10875,9.06122448979592,-9.95310938723405
0.10875,9.14285714285714,-10.8714122680754
0.10875,9.22448979591837,-11.923309580494
0.10875,9.30612244897959,-13.1284375918687
0.10875,9.38775510204082,-14.4968858111502
0.10875,9.46938775510204,-16.0073243793108
0.10875,9.55102040816326,-17.5518050212603
0.10875,9.63265306122449,-18.802371647591
0.10875,9.71428571428572,-18.9199721962223
0.10875,9.79591836734694,-16.1206482608601
0.10875,9.87755102040816,-8.11249052751985
0.10875,9.95918367346939,3.82674139041646
0.10875,10.0408163265306,13.1699109836586
0.10875,10.1224489795918,17.2192111455001
0.10875,10.2040816326531,17.8919338870231
0.10875,10.2857142857143,17.1126121483945
0.10875,10.3673469387755,15.858140851004
0.10875,10.4489795918367,14.5355806272823
0.10875,10.530612244898,13.2954294798412
0.10875,10.6122448979592,12.1824941234816
0.10875,10.6938775510204,11.2003323389916
0.10875,10.7755102040816,10.3378088696256
0.10875,10.8571428571429,9.57980564662537
0.10875,10.9387755102041,8.91136371685289
0.10875,11.0204081632653,8.31911304077722
