"lumped_element_capacitance [pF]","Freq [GHz]","ang_deg(S(2,1)) [deg]"
0.065,9.5,-9.09840825335746
0.065,9.51020408163265,-9.18582987094791
0.065,9.52040816326531,-9.27441249469119
0.065,9.53061224489796,-9.36417807226479
0.065,9.54081632653061,-9.4551486454137
0.065,9.55102040816326,-9.54734632596501
0.065,9.56122448979592,-9.6407932682543
0.065,9.57142857142857,-9.73551163774112
0.065,9.58163265306122,-9.83152357530765
0.065,9.59183673469388,-9.9288511568968
0.065,9.60204081632653,-10.0275163485546
0.065,9.61224489795918,-10.1275409550753
0.065,9.62244897959184,-10.2289465634139
0.065,9.63265306122449,-10.3317544789167
0.065,9.64285714285714,-10.4359856542032
0.065,9.65306122448979,-10.5416606102724
0.065,9.66326530612245,-10.6487993486638
0.065,9.6734693877551,-10.7574212538982
0.065,9.68367346938775,-10.8675449851752
0.065,9.69387755102041,-10.9791883567435
0.065,9.70408163265306,-11.0923682050243
0.065,9.71428571428572,-11.207100242217
0.065,9.72448979591837,-11.3233988939962
0.065,9.73469387755102,-11.4412771205383
0.065,9.74489795918367,-11.560746219017
0.065,9.75510204081633,-11.6818156056642
0.065,9.76530612244898,-11.8044925754099
0.065,9.77551020408163,-11.9287820373689
0.065,9.78571428571428,-12.0546862228636
0.065,9.79591836734694,-12.1822043646362
0.065,9.80612244897959,-12.3113323430372
0.065,9.81632653061225,-12.4420622975171
0.065,9.8265306122449,-12.5743821987391
0.065,9.83673469387755,-12.7082753781514
0.065,9.84693877551021,-12.8437200113943
0.065,9.85714285714286,-12.9806885498764
0.065,9.86734693877551,-13.1191470972594
0.065,9.87755102040816,-13.2590547242445
0.065,9.88775510204082,-13.400362716575
0.065,9.89795918367347,-13.5430137499427
0.065,9.90816326530612,-13.6869409852806
0.065,9.91836734693878,-13.8320670762261
0.065,9.92857142857143,-13.9783030824151
0.065,9.93877551020408,-14.1255472784535
0.065,9.94897959183674,-14.2736838506646
0.065,9.95918367346939,-14.4225814713637
0.065,9.96938775510204,-14.5720917399412
0.065,9.97959183673469,-14.7220474804736
0.065,9.98979591836735,-14.8722608832516
0.065,10,-15.0225214788691
0.0722916666666667,9.5,-10.0058139175849
0.0722916666666667,9.51020408163265,-10.1077407708641
0.0722916666666667,9.52040816326531,-10.2111282737732
0.0722916666666667,9.53061224489796,-10.3160011893863
0.0722916666666667,9.54081632653061,-10.4223840379268
0.0722916666666667,9.55102040816326,-10.5303010203545
0.0722916666666667,9.56122448979592,-10.6397759325639
0.0722916666666667,9.57142857142857,-10.7508320696878
0.0722916666666667,9.58163265306122,-10.8634921189268
0.0722916666666667,9.59183673469388,-10.9777780403708
