"lumped_element_capacitance [pF]","Freq [GHz]","mag(S(1,1)) []"
0.065,9.5,0.158785324540427
0.065,9.51020408163265,0.160400799577342
0.065,9.52040816326531,0.162039245793509
0.065,9.53061224489796,0.163701192654059
0.065,9.54081632653061,0.165387180435163
0.065,9.55102040816326,0.16709776042607
0.065,9.56122448979592,0.168833495116636
0.065,9.57142857142857,0.170594958371076
0.065,9.58163265306122,0.172382735583029
0.065,9.59183673469388,0.174197423811702
0.065,9.60204081632653,0.17603963190446
0.065,9.61224489795918,0.177909980581239
0.065,9.62244897959184,0.179809102506005
0.065,9.63265306122449,0.181737642320051
0.065,9.64285714285714,0.18369625663984
0.065,9.65306122448979,0.185685614022312
0.065,9.66326530612245,0.187706394883527
0.065,9.6734693877551,0.189759291370734
0.065,9.68367346938775,0.191845007177572
0.065,9.69387755102041,0.193964257305811
0.065,9.70408163265306,0.196117767753506
0.065,9.71428571428572,0.198306275138412
0.065,9.72448979591837,0.200530526231651
0.065,9.73469387755102,0.202791277404217
0.065,9.74489795918367,0.2050892939752
0.065,9.75510204081633,0.207425349447393
0.065,9.76530612244898,0.209800224619736
0.065,9.77551020408163,0.212214706572002
0.065,9.78571428571428,0.214669587490088
0.065,9.79591836734694,0.217165663341206
0.065,9.80612244897959,0.219703732357483
0.065,9.81632653061225,0.222284593336679
0.065,9.8265306122449,0.224909043717661
0.065,9.83673469387755,0.227577877421324
0.065,9.84693877551021,0.230291882442137
0.065,9.85714285714286,0.233051838144347
0.065,9.86734693877551,0.23585851226698
0.065,9.87755102040816,0.238712657583749
0.065,9.88775510204082,0.241615008203441
0.065,9.89795918367347,0.244566275474456
0.065,9.90816326530612,0.247567143468242
0.065,9.91836734693878,0.250618263986304
0.065,9.92857142857143,0.253720251084699
0.065,9.93877551020408,0.256873675046012
0.065,9.94897959183674,0.26007905577998
0.065,9.95918367346939,0.263336855604057
0.065,9.96938775510204,0.266647471352759
0.065,9.97959183673469,0.270011225788441
0.065,9.98979591836735,0.273428358250151
0.065,10,0.276899014515752
0.0722916666666667,9.5,0.175040559327845
0.0722916666666667,9.51020408163265,0.176938303723969
0.0722916666666667,9.52040816326531,0.178866047449139
0.0722916666666667,9.53061224489796,0.180824488724262
0.0722916666666667,9.54081632653061,0.182814339741538
0.0722916666666667,9.55102040816326,0.184836326704401
0.0722916666666667,9.56122448979592,0.186891189821456
0.0722916666666667,9.57142857142857,0.188979683255381
0.0722916666666667,9.58163265306122,0.1911025750121
0.0722916666666667,9.59183673469388,0.193260646772621
0.0722916666666667,9.60204081632653,0.195454693655725
0.0722916666666667,9.61224489795918,0.197685523900965
0.0722916666666667,9.62244897959184,0.199953958469894
0.0722916666666667,9.63265306122449,0.202260830549901
0.0722916666666667,9.64285714285714,0.204606984953444
0.0722916666666667,9.65306122448979,0.206993277396613
0.0722916666666667,9.66326530612245,0.209420573649879
0.0722916666666667,9.6734693877551,0.211889748540867
0.0722916666666667,9.68367346938775,0.214401684801893
0.0722916666666667,9.69387755102041,0.21695727173172
0.0722916666666667,9.70408163265306,0.219557403670322
0.0722916666666667,9.71428571428572,0.222202978249668
0.0722916666666667,9.72448979591837,0.224894894412868
0.0722916666666667,9.73469387755102,0.227634050166695
0.0722916666666667,9.74489795918367,0.230421340049678
0.0722916666666667,9.75510204081633,0.233257652282319
0.0722916666666667,9.76530612244898,0.236143865570362
0.0722916666666667,9.77551020408163,0.239080845534026
0.0722916666666667,9.78571428571428,0.24206944071821
0.0722916666666667,9.79591836734694,0.245110478152693
0.0722916666666667,9.80612244897959,0.248204758426791
0.0722916666666667,9.81632653061225,0.251353050219437
0.0722916666666667,9.8265306122449,0.254556084255773
0.0722916666666667,9.83673469387755,0.257814546640194
0.0722916666666667,9.84693877551021,0.261129071499156
0.0722916666666667,9.85714285714286,0.264500232906375
0.0722916666666667,9.86734693877551,0.267928536013105
0.0722916666666667,9.87755102040816,0.271414407344827
0.0722916666666667,9.88775510204082,0.274958184190993
0.0722916666666667,9.89795918367347,0.278560103045999
0.0722916666666667,9.90816326530612,0.282220287031938
0.0722916666666667,9.91836734693878,0.285938732251638
0.0722916666666667,9.92857142857143,0.289715293023151
0.0722916666666667,9.93877551020408,0.293549665941763
0.0722916666666667,9.94897959183674,0.297441372727658
0.0722916666666667,9.95918367346939,0.3013897418264
0.0722916666666667,9.96938775510204,0.305393888746004
0.0722916666666667,9.97959183673469,0.309452695104247
0.0722916666666667,9.98979591836735,0.313564786420132
0.0722916666666667,10,0.317728508657556
0.0795833333333333,9.5,0.194474969766578
0.0795833333333333,9.51020408163265,0.196727405514169
0.0795833333333333,9.52040816326531,0.199018670944201
0.0795833333333333,9.53061224489796,0.201349660107214
0.0795833333333333,9.54081632653061,0.203721281350172
0.0795833333333333,9.55102040816326,0.206134456706591
0.0795833333333333,9.56122448979592,0.208590121151426
0.0795833333333333,9.57142857142857,0.211089221711273
0.0795833333333333,9.58163265306122,0.213632716410402
0.0795833333333333,9.59183673469388,0.216221573035982
0.0795833333333333,9.60204081632653,0.218856767704855
0.0795833333333333,9.61224489795918,0.221539283204645
0.0795833333333333,9.62244897959184,0.224270107087009
0.0795833333333333,9.63265306122449,0.227050229496737
0.0795833333333333,9.64285714285714,0.22988064068956
0.0795833333333333,9.65306122448979,0.232762328227354
0.0795833333333333,9.66326530612245,0.235696273804639
0.0795833333333333,9.6734693877551,0.238683449672708
0.0795833333333333,9.68367346938775,0.241724814630191
0.0795833333333333,9.69387755102041,0.24482130952246
0.0795833333333333,9.70408163265306,0.247973852221404
