"lumped_element_capacitance [pF]","Freq [GHz]","TotalEfficiency []"
0.065,9.5,0.0513589962352779
0.065,9.51020408163265,0.0524580111907827
0.065,9.52040816326531,0.0535860533738597
0.065,9.53061224489796,0.0547440639225606
0.065,9.54081632653061,0.0559330188021227
0.065,9.55102040816326,0.0571539288241832
0.065,9.56122448979592,0.0584078419149909
0.065,9.57142857142857,0.0596958443529717
0.065,9.58163265306122,0.0610190618215379
0.065,9.59183673469388,0.0623786607441012
0.065,9.60204081632653,0.0637758509576801
0.065,9.61224489795918,0.0652118853667286
0.065,9.62244897959184,0.0666880632149638
0.065,9.63265306122449,0.0682057306779989
0.065,9.64285714285714,0.0697662827437448
0.065,9.65306122448979,0.0713711650930542
0.065,9.66326530612245,0.0730218754440008
0.065,9.6734693877551,0.0747199653218918
0.065,9.68367346938775,0.0764670418803583
0.065,9.69387755102041,0.0782647698816361
0.065,9.70408163265306,0.0801148722624639
0.065,9.71428571428572,0.0820191335465871
0.065,9.72448979591837,0.0839793998537304
0.065,9.73469387755102,0.0859975812339288
0.065,9.74489795918367,0.0880756537980446
0.065,9.75510204081633,0.0902156602415869
0.065,9.76530612244898,0.092419712249582
0.065,9.77551020408163,0.0946899899023917
0.065,9.78571428571428,0.0970287450611051
0.065,9.79591836734694,0.0994383014264168
0.065,9.80612244897959,0.101921054889365
0.065,9.81632653061225,0.104479474989115
0.065,9.8265306122449,0.107116104298712
0.065,9.83673469387755,0.109833558980787
0.065,9.84693877551021,0.112634527899234
0.065,9.85714285714286,0.115521771961463
0.065,9.86734693877551,0.11849812321296
0.065,9.87755102040816,0.121566481546211
0.065,9.88775510204082,0.12472981409724
0.065,9.89795918367347,0.127991149987574
0.065,9.90816326530612,0.131353577784457
0.065,9.91836734693878,0.13482023897653
0.065,9.92857142857143,0.138394322740025
0.065,9.93877551020408,0.142079058329758
0.065,9.94897959183674,0.145877706169756
0.065,9.95918367346939,0.149793547177224
0.065,9.96938775510204,0.153829873262396
0.065,9.97959183673469,0.157989971253979
0.065,9.98979591836735,0.16227710681902
0.065,10,0.16669450924477
0.0722916666666667,9.5,0.0614847738965493
0.0722916666666667,9.51020408163265,0.0628917009117905
0.0722916666666667,9.52040816326531,0.0643388190185116
0.0722916666666667,9.53061224489796,0.0658275149470813
0.0722916666666667,9.54081632653061,0.0673592275158186
0.0722916666666667,9.55102040816326,0.0689354495854031
0.0722916666666667,9.56122448979592,0.0705577298958793
0.0722916666666667,9.57142857142857,0.0722276746861733
0.0722916666666667,9.58163265306122,0.0739469517935535
0.0722916666666667,9.59183673469388,0.0757172892924336
0.0722916666666667,9.60204081632653,0.0775404800307607
0.0722916666666667,9.61224489795918,0.0794183825115497
0.0722916666666667,9.62244897959184,0.0813529232637673
0.0722916666666667,9.63265306122449,0.0833460988785294
0.0722916666666667,9.64285714285714,0.0853999776198558
0.0722916666666667,9.65306122448979,0.0875167014782758
0.0722916666666667,9.66326530612245,0.0896984885746894
0.0722916666666667,9.6734693877551,0.0919476330331306
0.0722916666666667,9.68367346938775,0.0942665087906084
0.0722916666666667,9.69387755102041,0.0966575692968378
0.0722916666666667,9.70408163265306,0.0991233501012964
0.0722916666666667,9.71428571428572,0.1016664685462
0.0722916666666667,9.72448979591837,0.104289625824264
0.0722916666666667,9.73469387755102,0.106995605640331
0.0722916666666667,9.74489795918367,0.109787275950216
0.0722916666666667,9.75510204081633,0.112667587746222
0.0722916666666667,9.76530612244898,0.115639573056059
0.0722916666666667,9.77551020408163,0.118706345661632
0.0722916666666667,9.78571428571428,0.121871097057065
0.0722916666666667,9.79591836734694,0.125137093536252
0.0722916666666667,9.80612244897959,0.12850767338567
0.0722916666666667,9.81632653061225,0.131986239464502
0.0722916666666667,9.8265306122449,0.135576256872458
0.0722916666666667,9.83673469387755,0.13928124062528
0.0722916666666667,9.84693877551021,0.143104752037345
0.0722916666666667,9.85714285714286,0.147050383250709
0.0722916666666667,9.86734693877551,0.151121747511479
0.0722916666666667,9.87755102040816,0.155322463893159
0.0722916666666667,9.88775510204082,0.159656140334726
0.0722916666666667,9.89795918367347,0.164126354666874
0.0722916666666667,9.90816326530612,0.168736631764443
0.0722916666666667,9.91836734693878,0.173490418584096
0.0722916666666667,9.92857142857143,0.17839105637746
0.0722916666666667,9.93877551020408,0.183441745835698
0.0722916666666667,9.94897959183674,0.188645512458999
0.0722916666666667,9.95918367346939,0.194005167779935
0.0722916666666667,9.96938775510204,0.199523259622808
0.0722916666666667,9.97959183673469,0.205202026193048
0.0722916666666667,9.98979591836735,0.211043338242114
0.0722916666666667,10,0.217048639000393
0.0795833333333333,9.5,0.074705390113045
0.0795833333333333,9.51020408163265,0.0765353174211804
0.0795833333333333,9.52040816326531,0.078421385332003
0.0795833333333333,9.53061224489796,0.0803656225452784
0.0795833333333333,9.54081632653061,0.0823701339134394
0.0795833333333333,9.55102040816326,0.0844371030474871
0.0795833333333333,9.56122448979592,0.0865687937819982
0.0795833333333333,9.57142857142857,0.0887675520521451
0.0795833333333333,9.58163265306122,0.0910358085590253
0.0795833333333333,9.59183673469388,0.0933760805409207
0.0795833333333333,9.60204081632653,0.0957909731036632
0.0795833333333333,9.61224489795918,0.0982831810871427
0.0795833333333333,9.62244897959184,0.10085548984151
0.0795833333333333,9.63265306122449,0.103510776856033
0.0795833333333333,9.64285714285714,0.106252011684777
0.0795833333333333,9.65306122448979,0.109082256722723
0.0795833333333333,9.66326530612245,0.112004665512494
0.0795833333333333,9.6734693877551,0.115022483618249
0.0795833333333333,9.68367346938775,0.118139046284157
