lumped_element_capacitance [pF],Freq [GHz],"ang_deg(S(2,1)) [deg]"
0.065,9.5,-9.098408253
0.065,9.75,-11.62108037
0.065,10,-15.02252148
0.072291667,9.5,-10.00581392
0.072291667,9.75,-12.96860761
0.072291667,10,-16.69544784
0.079583333,9.5,-11.07687019
0.079583333,9.75,-14.53299963
0.079583333,10,-17.97674428
0.086875,9.5,-12.23869635
0.086875,9.75,-16.18521802
0.086875,10,-17.57268932
0.094166667,9.5,-13.55741511
0.094166667,9.75,-17.77513625
0.094166667,10,-13.31658254
0.101458333,9.5,-15.02355379
0.101458333,9.75,-18.82566641
0.101458333,10,-2.913958095
0.10875,9.5,-16.59323396
0.10875,9.75,-18.19909368
0.10875,10,9.167506011
0.116041667,9.5,-18.09053298
0.116041667,9.75,-13.95512566
0.116041667,10,16.08462629
0.123333333,9.5,-19.32460963
0.123333333,9.75,-4.025548562
0.123333333,10,18.29808094
0.130625,9.5,-19.53045476
0.130625,9.75,7.990375567
0.130625,10,17.98700496
0.137916667,9.5,-17.19776545
0.137916667,9.75,15.91970184
0.137916667,10,16.73803688
0.145208333,9.5,-10.97064944
0.145208333,9.75,18.60004196
0.145208333,10,15.39965026
0.1525,9.5,-0.781721355
0.1525,9.75,18.78144351
0.1525,10,14.12201315
0.159791667,9.5,9.232870274
0.159791667,9.75,17.94265225
0.159791667,10,12.97740838
0.167083333,9.5,15.96967301
0.167083333,9.75,16.70308613
0.167083333,10,11.92850351
0.174375,9.5,18.61630414
0.174375,9.75,15.60282478
0.174375,10,11.12219069
0.181666667,9.5,19.33045037
0.181666667,9.75,14.45186009
0.181666667,10,10.34360552
0.188958333,9.5,18.85099727
0.188958333,9.75,13.30956353
0.188958333,10,9.607240502
0.19625,9.5,17.94176965
0.19625,9.75,12.39649012
0.19625,10,9.014280998
0.203541667,9.5,16.91425125
0.203541667,9.75,11.59075768
0.203541667,10,8.490275859
0.210833333,9.5,15.76787076
0.210833333,9.75,10.81344207
0.210833333,10,7.990185163
0.218125,9.5,14.91946806
0.218125,9.75,10.25100013
0.218125,10,7.614547196
0.225416667,9.5,14.04785187
0.225416667,9.75,9.703433486
0.225416667,10,7.252585435
0.232708333,9.5,13.32627175
0.232708333,9.75,9.256401538
0.232708333,10,6.954644186
0.24,9.5,12.5182786
0.24,9.75,8.761497605
0.24,10,6.621973231
